WaterbodyCode,WaterbodyName,WaterbodyType,Region,LA,CombinedCatchment,Cycle2AfA,Cycle3AfA,Cycle3Lead,DraftEO3,Cycle3Risk,Status2010_2015,Status2013_2018,Status2016_2021,Driver,ESTechnique,AchieveEO2010_2015,AchieveEO2013_2018,AchieveEO2016_2021,StatusChange,ClassChange,StatusReversal,EOChange,ClassChange18_21,Issues,PressureCount,Pressures,Abstractions,Agriculture,Anthropogenic Pressures,Aquaculture,Atmospheric,Domestic Waste Water,Forestry,Historically Polluted Sites,Hydromorphology,Industry,Invasive Species,Mines Quarries,Other Anthropogenic Pressures,Peat.x,Urban Run-off,Urban Waste Water,Waste,Water Treatment,P_Rank_1_3_v3R1,N_Rank_1_3_v3R1,DM1,DM2,Catchment,Area_ha,P_Wastewater,P_Other_licenced_discharges,P_Diffuse_Urban,P_Septi_ Tanks,P_Pasture,P_Arable,P_Forestry,P_Peat,P_Deposition,P_Total_kgYr,P_Urban_2018,Alluvium,Imperfect,Made,Peat.y,Poor,VeryPoor,Water,Well,Total,EOAssessment,ResponseCategory
IE_SE_13G060990,GRAIGUE_GREAT_010,River,South East,Wexford CoCo,13,Bannow,Bannow,LAWPRO,Good,Review,Unassigned,Good,Moderate,,Modelling,Cannot Assess,Achieved,Not Achieved,Declined,1,No,No longer Achieving,-1,,,,,,,,,,,,,,,,,,,,,,15,21,2.6799999999999997,4.05,13,1746.0256,0.441906212,0.254904918,0.051834518,0.020934975,0.146083547,0.08433583,0,0,0,823.704194,0.748645648,0.379981547,0.196018285,0.137663283,,1.881865384,2.001237507,,12.78122935,17.37799536,Uncategorised,Data Gap
IE_SE_13H010020,HEATHPARK STREAM_010,River,South East,Wexford CoCo,13,Bannow,Bannow,LAWPRO,Good,At risk,Moderate,Poor,Moderate,Invertebrates,Monitoring,Not Achieved,Not Achieved,Not Achieved,Improved,1,Yes,Still not Achieving,1,"Sediment, Morphological, Nutrients",2,"Agriculture, Forestry",,TRUE,,,,,TRUE,,,,,,,,,,,,16,44,4.986666666666666,2.033333333333333,13,3108,0,0,0.067714772,0.026216544,0.50821489,0.220048184,0.177805609,0,0,451.183573,0.067714772,1.639618295,,,,5.610615907,0.051379539,,23.77134551,31.07295925,Consistently not achieving objective,Status Reversal
IE_SE_13K140950,KISHA_010,River,South East,Wexford CoCo,13,Wexford coastal lagoons,Wexford Coastal Lagoons,LAWPRO,Good,Review,Unassigned,Moderate,Moderate,,Modelling,Cannot Assess,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,,,,,,,,,,,,,,,,,,,,,,14,13,3.5733333333333333,3.0666666666666664,13,2969.5592,0.138840857,0.054899989,0.26936506,0.111702982,0.253251666,0.16713988,0,0,0.004799568,777.869012,0.463105905,0.965911347,0.089411778,0.681197852,0.484528198,2.211740284,5.396503043,0.063347928,19.6898547,29.58249513,Consistently not achieving objective,Data Gap
IE_SE_13L110540,LONGBRIDGE_010,River,South East,Wexford CoCo,13,,,,Good,Review,Unassigned,Moderate,Good,,Modelling,Cannot Assess,Not Achieved,Achieved,Improved,1,No,Now Achieving,1,,,,,,,,,,,,,,,,,,,,,,38,7,4.493333333333333,1.6666666666666665,13,1379.7877,0,0,0,0.087132942,0.531359824,0.202949232,0.178558003,0,0,336.651621,0,0.719932353,0.02880248,,,1.693309126,8.228816615,,3.123000061,13.79386064,Uncategorised,Data Gap
IE_SE_13M010200,MULMONTRY_010,River,South East,Wexford CoCo,13,Bannow,Bannow,LAWPRO,Good,Not at risk,Good,Good,Good,Invertebrates,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,29,17,3.6266666666666665,2.8166666666666664,13,2077.6694,0,0,0.001363377,0.084912994,0.546894855,0.15678056,0.210048214,0,0,453.757865,0.001363377,1.038054671,0.077214022,,,4.703720309,6.311655864,,8.639990599,20.77063546,Consistently achieving objective,Persistently Good or Better
IE_SE_13M010400,MULMONTRY_020,River,South East,Wexford CoCo,13,,Bannow,LAWPRO,Good,Not at risk,Good,Good,Good,Invertebrates,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,23,21,3.6799999999999997,2.9166666666666665,13,721.72,0,0,0,0.083743908,0.634760782,0.136065124,0.144815441,0,6.14746e-4,135.605602,0,0.396994294,0.073559079,,,1.063507368,1.224618659,,4.456504595,7.215183995,Consistently achieving objective,Persistently Good or Better
IE_SE_13M010700,MULMONTRY_030,River,South East,Wexford CoCo,13,,Bannow,LAWPRO,Good,Not at risk,Good,Good,Good,Invertebrates,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,13,31,3.8133333333333335,3.083333333333333,13,3019.68,0,0.083443879,0.002540755,0.043759095,0.54019098,0.276695794,0.053369497,0,0,426.48425,0.085984634,1.314830074,0.260226518,0.001237303,0.159729754,4.582787615,0.02705886,,23.84289908,30.1887692,Consistently achieving objective,Persistently Good or Better
IE_SE_13O010100,OWENDUFF (WEXFORD)_010,River,South East,Wexford CoCo,13,,,,Good,At risk,Good,Moderate,Moderate,Invertebrates,Monitoring,Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,Nutrients,1,Agriculture,,TRUE,,,,,,,,,,,,,,,,,18,28,3.7733333333333334,3,13,3728.3639,0.014380921,0.024604857,0,0.070610535,0.560563357,0.292667666,0.037172664,0,0,556.292601,0.038985778,2.172443813,5.20317824,,0.43167289,3.145604219,,,26.32269586,37.27559502,Decline - Maintained,Persistently Less than Good
IE_SE_13O010180,OWENDUFF (WEXFORD)_020,River,South East,Wexford CoCo,13,,,,Good,Not at risk,Good,Good,Good,Invertebrates,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,20,17,3.6266666666666665,2.9666666666666663,13,1374.8,0.226316915,0,0,0.059840044,0.374455402,0.191092658,0.148294982,0,0,318.137953,0.226316915,0.537123016,2.224235935,0.011530985,,0.760221604,0.180847615,,10.0308964,13.74485555,Consistently achieving objective,Persistently Good or Better
IE_SE_13O010240,OWENDUFF (WEXFORD)_030,River,South East,Wexford CoCo,13,,,,Good,Not at risk,Good,Good,Good,Invertebrates,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,24,17,3.6266666666666665,2.9,13,991.2,0,0,0,0.04918031,0.587142346,0.363677344,0,0,0,166.230836,0,0.360672579,2.822633991,,,0.444107459,,,6.282250285,9.909664314,Consistently achieving objective,Persistently Good or Better
IE_SE_13T010900,TINTERN ABBEY STREAM_010,River,South East,Wexford CoCo,13,Bannow,Bannow,LAWPRO,Good,At risk,Poor,Poor,Poor,Invertebrates,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,Nutrients,1,Agriculture,,TRUE,,,,,,,,,,,,,,,,,20,21,3.6799999999999997,2.9666666666666663,13,2335.3557,0,0,0,0.111885799,0.38287465,0.424743766,0.080495785,0,0,403.107477,0,0.990767607,3.927106916,0.010220774,0.117153533,1.327269915,0.375202952,,16.59960544,23.34732714,Consistently not achieving objective,Persistently Poor
IE_SE_140_0000,Dungarvan Harbour,Coastal,South East,Waterford CoCo,17,,,,Good,Not at risk,High,High,Good,"Hymo, GPC",Monitoring,Achieved,Achieved,Achieved,Declined,1,No,Still Achieving,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Decline - Recent
IE_SE_140_0100,Colligan Estuary,Transitional,South East,Waterford CoCo,17,Colligan-Bricky-Dungarvan Harbour,Colligan-Bricky-Dungarvan Harbour,LAWPRO,Good,At risk,Moderate,Poor,Moderate,"Hymo, GPC",Monitoring,Not Achieved,Not Achieved,Not Achieved,Improved,1,Yes,Still not Achieving,1,Nutrients,1,Urban Waste Water,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently not achieving objective,Status Reversal
IE_SE_140_0200,Brickey Estuary,Transitional,South East,Waterford CoCo,17,Colligan-Bricky-Dungarvan Harbour,Colligan-Bricky-Dungarvan Harbour,LAWPRO,Good,Review,Unassigned,Poor,Moderate,,Grouping,Cannot Assess,Not Achieved,Not Achieved,Improved,1,No,Still not Achieving,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently not achieving objective,Data Gap
IE_SE_14A010840,Abbeylough_010,River,Midlands and East,Kildare CoCo,14,,Figile,LAWPRO,Good,At risk,Unassigned,Poor,Moderate,,Modelling,Cannot Assess,Not Achieved,Not Achieved,Improved,1,No,Still not Achieving,1,Morphological,1,Peat,,,,,,,,,,,,,,TRUE,,,,,17,0,4.4,2.0166666666666666,14,1104.5875,0,0,0,0.013144986000000001,0.191225035,0.0743445,0.450301074,0.270984404,0,279.166287,0,0.002914723,,0.047428554,7.653886015,3.290762791,,,0.048708059,11.04370014,Consistently not achieving objective,Data Gap
IE_SE_14A020100,AGHALONA_010,River,South East,Carlow CoCo,14,,Burren,LAWPRO,Good,At risk,Moderate,Moderate,Moderate,Invertebrates,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,Nutrients,1,Agriculture,,TRUE,,,,,,,,,,,,,,,,,28,27,3.76,2.833333333333333,14,1703.1462,0,0,0,0.01094952,0.463538969,0.52545988,0,0,5.16e-5,288.31456,0,0.378905054,,,0.006870417,5.563427445,0.247646189,,10.83064625,17.02749535,Consistently not achieving objective,Persistently Less than Good
IE_SE_14A020200,AGHALONA_020,River,South East,Carlow CoCo,14,,Burren,LAWPRO,Good,At risk,Moderate,Moderate,Moderate,"Invertebrates, GPC",Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,Nutrients,1,Agriculture,,TRUE,,,,,,,,,,,,,,,,,16,60,4.2,3.033333333333333,14,1056.8818,0,0,0.359769563,0.011474961,0.177806668,0.450948809,0,0,0,194.662368,0.359769563,0.475779231,,0.001810506,,1.698160281,0.011977085,,8.378610024,10.56633713,Consistently not achieving objective,Persistently Less than Good
IE_SE_14A040400,AUGHAVAUD_010,River,South East,Carlow CoCo,14,,Aughavaud,Carlow County Council,Good,Review,Unassigned,Good,Good,,Modelling,Cannot Assess,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,13,13,3.5733333333333333,3.083333333333333,14,2352.71,0.042562056,0,0,0.016211535,0.761770146,0.003770181,0.175686081,0,0,352.426582,0.042562056,0.99784076,,,0.703381598,12.04447717,,,9.776408682,23.52210821,Consistently achieving objective,Data Gap
IE_SE_14A040600,AUGHAVAUD_020,River,South East,Carlow CoCo,14,,Aughavaud,Carlow County Council,Good,Not at risk,Good,Good,Good,Invertebrates,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,12,29,3.7866666666666666,3.0999999999999996,14,768.1698,0.097242596,0,0,0.045092918,0.766316367,0.072732376,0.018615743,0,0,102.835593,0.097242596,0.274798824,,,,1.757405223,,8.78e-7,5.647911404,7.68011633,Consistently achieving objective,Persistently Good or Better
IE_SE_14A050500,AUGHNABRISKY_010,River,South East,Carlow CoCo,14,,Mountain-Borris,LAWPRO,Good,Not at risk,Good,Good,Good,Invertebrates,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,4,6,3.48,3.233333333333333,14,2167.1375,0,0,0,0.006388911,0.463157585,0.001606953,0.116163538,0.412683013,0,409.253298,0,0.65061847799999994,,,0.90342907,10.39111348,,,9.721192802,21.66635383,Consistently achieving objective,Persistently Good or Better
IE_SE_14A060200,ATHY STREAM_010,River,Midlands and East,Kildare CoCo,14,Athy stream,Athy Stream,LAWPRO,Good,At risk,Poor,Moderate,Moderate,Invertebrates,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,Morphological,1,Agriculture,,TRUE,,,,,,,,,,,,,,,,,26,27,3.76,2.8666666666666663,14,1232.225,0,0,0,0.028095366,0.373896181,0.475151502,0.122317133,0,5.39817e-4,211.406639,0,0.080902767,,,,4.434556463,0.167568216,,7.636654204,12.31968165,Consistently not achieving objective,Persistently Less than Good
IE_SE_14A060400,ATHY STREAM_020,River,Midlands and East,Kildare CoCo,14,Athy stream,Athy Stream,LAWPRO,Good,At risk,Moderate,Moderate,Poor,Invertebrates,Monitoring,Not Achieved,Not Achieved,Not Achieved,Declined,1,No,Still not Achieving,-1,"Morphological, Nutrients",1,Agriculture,,TRUE,,,,,,,,,,,,,,,,,25,30,2.8,3.883333333333333,14,1297.8709,0,0,0.194848153,0.005442688,0.145419202,0.560593672,0.093696285,0,0,268.597265,0.194848153,0.43515565,,0.351618573,0.302699496,4.501693548,,,7.384926827,12.97609409,Consistently not achieving objective,Decline - Recent
IE_SE_14A060600,ATHY STREAM_030,River,Midlands and East,Kildare CoCo,14,,Athy Stream,LAWPRO,Good,Review,Unassigned,Moderate,Poor,,Modelling,Cannot Assess,Not Achieved,Not Achieved,Declined,1,No,Still not Achieving,-1,,,,,,,,,,,,,,,,,,,,,,41,20,2.6666666666666665,3.6166666666666663,14,1749.0725,0,0,0.238302387,0.0101915,0.253127723,0.41786778,0.073811084,0.006699525,0,463.50223,0.238302387,0.514363025,,0.661871843,3.161737103,6.003690161,0.253139182,,6.892567699,17.48736901,Consistently not achieving objective,Data Gap
IE_SE_14A070300,AUGHNACREW_010,River,South East,Wexford CoCo,14,,,,Good,At risk,Moderate,Moderate,Moderate,Invertebrates,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,Nutrients,1,Agriculture,,TRUE,,,,,,,,,,,,,,,,,12,39,3.92,3.0999999999999996,14,1388.6799,0,0,0,0.043220153,0.651484865,0.305294982,0,0,0,178.362093,0,0.998665045,,,,2.272266631,,,10.61271891,13.88365059,Consistently not achieving objective,Persistently Less than Good
IE_SE_14A070500,AUGHNACREW_020,River,South East,Wexford CoCo,14,,,,Good,Not at risk,Good,Good,Good,Invertebrates,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,14,51,4.08,3.0666666666666664,14,1781.125,0.218678192,0,0,0.021960751,0.614737207,0.128241377,0.015930918,0,4.51554e-4,301.81336,0.218678192,0.735083915,,,,3.296548037,,,13.77570686,17.80733881,Consistently achieving objective,Persistently Good or Better
IE_SE_14B010060,BARROW_010,River,South East,Laois CoCo,14,,Upper Barrow (Headwaters to Mountmellick),LAWPRO,High,Not at risk,High,High,High,"Hymo, Invertebrates",Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,2,5,3.466666666666667,3.2666666666666666,14,1934.3325,0,0,0,0.001909607,0.133937515,3.62e-5,0.77631639,0.087800253,0,576.407619,0,0.421405163,,,7.623318252,8.032024865,,,3.264650373,19.34139865,Consistently achieving objective,Persistently Good or Better
IE_SE_14B010200,BARROW_020,River,South East,Laois CoCo,14,,Upper Barrow (Headwaters to Mountmellick),LAWPRO,Good,Not at risk,Good,Good,Good,Hymo,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,41,14,3.5866666666666664,2.6166666666666663,14,1134.5925,0,0,0,0.013825658,0.739940195,0.047646194,0.16056649,0.037964989,5.65e-5,259.694554,0,0.778846449,,0.033487931,3.679990656,3.318040401,0.004317483,,3.530082316,11.34476524,Consistently achieving objective,Persistently Good or Better
IE_SE_14B010300,BARROW_030,River,South East,Laois CoCo,14,,Upper Barrow (Headwaters to Mountmellick),LAWPRO,Good,Not at risk,Good,Good,Good,Invertebrates,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,49,12,3.56,2.4833333333333334,14,2480.8177,0.049198834,0,0,0.011684183,0.642738625,0.197602151,0.091432188,0.007196899,1.4712e-4,589.444868,0.049198834,1.373699578,0.001471684,0.01126884,2.436493277,14.11984602,0.029689754,,6.832961426,24.80543058,Consistently achieving objective,Persistently Good or Better
IE_SE_14B010500,BARROW_040,River,South East,Laois CoCo,14,,Upper Barrow (Headwaters to Mountmellick),LAWPRO,Good,At risk,Moderate,Moderate,Moderate,Invertebrates,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,Nutrients,1,Agriculture,,TRUE,,,,,,,,,,,,,,,,,50,10,3.533333333333333,2.4666666666666663,14,3484.8341,0,0,0.05735526,0.020302094,0.753638064,0.056843338,0.08066457,0.031025188,1.71485e-4,820.701641,0.05735526,2.535399886,0.146897069,0.24039927,5.382103401,20.26878109,0.075230761,,6.195585487,34.84439696,Consistently not achieving objective,Persistently Less than Good
IE_SE_14B010550,BARROW_050,River,South East,Laois CoCo,14,,Barrow (Mountmellick to Portarlington),LAWPRO,Good,At risk,Unassigned,Moderate,Moderate,,Modelling,Cannot Assess,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Hydrological, Morphological, Nutrients, Organic",4,"Agriculture, Forestry, Hydromorphology, Peat",,TRUE,,,,,TRUE,,TRUE,,,,,TRUE,,,,,19,15,3.6,2.9833333333333334,14,2291.8999,0,0,0,0.009607496,0.268195236,0.163097194,0.25112107,0.307979004,0,503.386,0,1.21632994,,,13.01331157,2.613618189,0.004133854,,6.068716395,22.91610994,Consistently not achieving objective,Data Gap
IE_SE_14B010700,BARROW_060,River,South East,Laois CoCo,14,,Barrow (Mountmellick to Portarlington),LAWPRO,Good,Review,Good,Good,Good,Invertebrates,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,31,18,3.6399999999999997,2.783333333333333,14,3380.9551,0.02530756,0,0.079758371,0.01246025,0.373713868,0.199268727,0.30809389,0.001271422,1.25911e-4,869.305441,0.105065932,1.651046609,,0.486517171,11.30468404,7.722303109,0.057854454,,12.58255908,33.80496446,Consistently achieving objective,Persistently Good or Better
IE_SE_14B010780,BARROW_070,River,Midlands and East,Offaly CoCo,14,,Barrow (Mountmellick to Portarlington),LAWPRO,Good,At risk,Good,Good,Poor,Invertebrates,Monitoring,Achieved,Achieved,Not Achieved,Declined,2,No,No longer Achieving,-2,Nutrients,1,Agriculture,,TRUE,,,,,,,,,,,,,,,,,50,4,1.4533333333333331,4.466666666666667,14,1062.4675,0.344679991,0,0.205954094,0.008375061,0.277011951,0.111505595,0.049513486,0.002959823,0,522.223526,0.550634084,0.592820469,,0.600944938,3.034072928,5.077517363,0.066705039,,1.251145574,10.62320631,Decline - Significant,Decline - Major
IE_SE_14B010900,BARROW_080,River,South East,Laois CoCo,14,Portarlington,Barrow (Mountmellick to Portarlington),LAWPRO,Good,At risk,Moderate,Moderate,Poor,Invertebrates,Monitoring,Not Achieved,Not Achieved,Not Achieved,Declined,1,No,Still not Achieving,-1,"Nutrients, Organic",2,"Urban Run-off, Urban Waste Water",,,,,,,,,,,,,,,TRUE,TRUE,,,20,6,2.48,3.966666666666667,14,1403.765,0.578855976,0,0.281315461,0.007796672,0.096288208,0.018264166,0.01269881,0.004780708,0,1207.55426,0.860171437,1.030352916,,0.752387178,2.817633486,2.94345398,0.005314085,,6.486452582,14.03559423,Consistently not achieving objective,Decline - Recent
IE_SE_14B011000,BARROW_090,River,South East,Laois CoCo,14,Portarlington,Barrow (Portarlington to Monsterevin),LAWPRO,Good,At risk,Poor,Poor,Poor,Fish,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Hydrological, Morphological, Nutrients, OtherSignificantImpacts",3,"Hydromorphology, Invasive Species, Urban Run-off",,,,,,,,,TRUE,,TRUE,,,,TRUE,,,,31,10,3.533333333333333,2.783333333333333,14,2083.5249,0,0,0.11126875,0.022474945,0.499929421,0.129768165,0.194485929,0.04207279,0,436.724947,0.11126875,2.579285314,,0.147617446,5.181258063,4.701915067,2.259507125,,5.962334147,20.83191716,Consistently not achieving objective,Persistently Poor
IE_SE_14B011130,BARROW_100,River,Midlands and East,Kildare CoCo,14,,Barrow (Portarlington to Monsterevin),LAWPRO,Good,At risk,Unassigned,Moderate,Moderate,,Modelling,Cannot Assess,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Morphological, Nutrients, Organic",3,"Hydromorphology, Urban Run-off, Urban Waste Water",,,,,,,,,TRUE,,,,,,TRUE,TRUE,,,23,18,3.6399999999999997,2.9166666666666665,14,3060.65,0.365284843,0,0.135055065,0.014442242,0.293588678,0.063124446,0.113376401,0.015128325,0,1078.610316,0.50033990800000006,0.190572124,,0.59402253,11.92281056,3.79648519,0.287069751,,13.81003351,30.60099367,Consistently not achieving objective,Data Gap
IE_SE_14B011300,BARROW_110,River,South East,Laois CoCo,14,,,,Good,Not at risk,Good,Good,Good,Invertebrates,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,35,20,3.6666666666666665,2.7166666666666663,14,2388.1224,0,0,0.13272178,0.012690885,0.35024367,0.400945997,0.102879448,5.1822e-4,0,493.982969,0.13272178,4.730234063,,0.046357003,1.530047185,6.378154723,0.009538473,,11.183019,23.87735045,Consistently achieving objective,Persistently Good or Better
IE_SE_14B011500,BARROW_120,River,Midlands and East,Kildare CoCo,14,,,,Good,Not at risk,Good,Good,Good,Invertebrates,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,34,25,3.7333333333333334,2.7333333333333334,14,7707.9526,0.237236951,0,0.008586125,0.009531802,0.312354333,0.280587665,0.116348639,0.035354485,0,1993.787217,0.245823076,16.40479875,,0.234708994,14.34655956,15.22680522,0.904426948,,29.94913098,77.06643045,Consistently achieving objective,Persistently Good or Better
IE_SE_14B011600,BARROW_130,River,Midlands and East,Kildare CoCo,14,,Athy Stream,LAWPRO,Good,Review,Unassigned,Poor,Poor,,Modelling,Cannot Assess,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,,,,,,,,,,,,,,,,,,,,,,9,51,4.08,3.15,14,1090.3725,0.821119245,0,0.106896233,0.001694957,0.022883814,0.046141763,0.001263987,0,0,1212.978512,0.928015478,0.962358416,,0.915304372,0.301040753,0.639971679,0.013019507,,8.070047479,10.90174221,Consistently not achieving objective,Data Gap
IE_SE_14B011900,BARROW_140,River,Midlands and East,Kildare CoCo,14,Athy stream,Athy Stream,LAWPRO,Good,At risk,Moderate,Poor,Poor,Invertebrates,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Hydrological, Morphological, Nutrients, OtherSignificantImpacts",3,"Agriculture, Hydromorphology, Invasive Species",,TRUE,,,,,,,TRUE,,TRUE,,,,,,,,17,51,4.08,3.0166666666666666,14,7680.8072,0.196220452,0.054664383,0.121222397,0.011224968,0.169002902,0.370615305,0.077049592,0,0,1442.255368,0.372107232,6.024872115,,0.78022388,6.983441223,5.162916774,0.096454813,,57.74640859,76.7943174,Consistently not achieving objective,Persistently Less than Good
IE_SE_14B012000,BARROW_150,River,Midlands and East,Kildare CoCo,14,,Athy Stream,LAWPRO,Good,Review,Unassigned,Moderate,Moderate,,Modelling,Cannot Assess,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,,,,,,,,,,,,,,,,,,,,,,7,63,4.24,3.183333333333333,14,1698.554,0,0,0,0.013283137,0.217320399,0.665304008,0.104092456,0,0,122.31531,0,1.412824354,,,,1.433302934,0.051229589,,14.08482801,16.98218489,Consistently not achieving objective,Data Gap
IE_SE_14B012460,BARROW_160,River,South East,Laois CoCo,14,,Burren,LAWPRO,Good,At risk,Moderate,Moderate,Moderate,Invertebrates,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Hydrological, Morphological, OtherSignificantImpacts",2,"Hydromorphology, Urban Run-off",,,,,,,,,TRUE,,,,,,TRUE,,,,12,39,3.92,3.0999999999999996,14,3374.5975,0.859234557,0.001672837,0.086434905,0.001508669,0.020631,0.024587737,0.005445129,0,4.85166e-4,5018.420136,0.947342299,3.114429626,,3.751150105,0.00495397,4.670357011,0.065267875,,22.13324019,33.73939877,Consistently not achieving objective,Persistently Less than Good
IE_SE_14B012600,BARROW_170,River,South East,Carlow CoCo,14,,Ballinabranna GWS,NFGWS,Good,At risk,Moderate,Moderate,Moderate,Invertebrates,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Hydrological, Morphological, Nutrients",2,"Agriculture, Hydromorphology",,TRUE,,,,,,,TRUE,,,,,,,,,,19,42,3.96,2.9833333333333334,14,2205.12,0.327745885,0,0.033685192,0.032178431,0.356622796,0.13778917,0.111092164,0,8.86362e-4,414.95563,0.361431076,2.42142598,,0.096381562,0.366315213,4.649447504,0.479490603,,14.03399084,22.0470517,Consistently not achieving objective,Persistently Less than Good
IE_SE_14B012700,BARROW_180,River,South East,Carlow CoCo,14,,,,Good,At risk,Moderate,Moderate,Moderate,Invertebrates,Monitoring,Not Achieved,Not Achieved,Not Achieved,No Change,No Assessed Change,No,Still not Achieving,0,"Nutrients, Organic",2,"Agriculture, Urban Run-off",,TRUE,,,,,,,,,,,,,TRUE,,,,14,58,4.173333333333333,3.0666666666666664,14,3073.113,0.085791796,0,0.271147563,0.088485192,0.307465538,0.243587056,0.002548287,0,9.74569e-4,466.24505,0.356939358,2.609402687,,0.145051275,0.081780668,2.181647024,2.311568357,,23.39567416,30.72512417,Consistently not achieving objective,Persistently Less than Good
IE_SE_14B012820,BARROW_190,River,South East,Carlow CoCo,14,,,,Good,Review,Unassigned,Unassigned,Moderate,,Modelling,Cannot Assess,Cannot Assess,Not Achieved,Cannot Assess,Cannot Assess,No,Cannot Assess,,,,,,,,,,,,,,,,,,,,,,,23,41,,,14,1031.3481,0.222719281,0,0.039674517,0.107306818,0.56481074,0.06514191,0,0,3.46735e-4,179.598281,0.262393798,0.695403195,,0.05897871,,0.1605943,2.713853013,,6.68272891,10.31155813,Uncategorised,Data Gap
IE_SE_14B012920,BARROW_200,River,South East,Carlow CoCo,14,,,,Good,Not at risk,Good,Good,Moderate,Invertebrates,Monitoring,Achieved,Achieved,Not Achieved,Declined,1,No,No longer Achieving,-1,,,,,,,,,,,,,,,,,,,,,,7,50,3.0666666666666664,4.183333333333334,14,1200.66,0.718150065,0,0.142418045,0.010204366,0.09400065,0.035062673,0,0,1.642e-4,686.486048,0.86056811,0.581592831,,0.801502999,,0.655060869,,,9.966071557,12.00422826,Decline - Significant,Decline - Recent
